Port1,Port2,Port3,Port4,AtmArm,AirLock1,AirLock2,TransferChamber,PM1,PM2,PM3,PM4,PM5,PM6,Throughput ,ActionCode
1,0,0,0,0,1,2,0,3,0,3,3,3,3,65.8918,287
1,0,0,0,0,1,2,0,3,3,0,3,3,3,65.8918,287
0,0,0,0,1,1,0,1,3,0,3,3,3,1,65.8918,287
1,0,0,0,0,1,1,1,3,1,3,3,3,3,65.8918,287
0,0,0,0,0,1,1,0,0,0,0,0,0,0,65.8918,287
1,0,0,0,1,1,0,0,3,3,3,0,0,3,65.8918,287
0,0,0,0,1,1,1,0,3,3,0,3,3,3,65.8918,287
0,0,0,0,1,1,0,1,3,3,3,3,3,1,65.8918,287
0,0,0,0,1,1,0,1,3,1,3,0,0,3,65.8918,287
0,0,0,0,0,1,2,0,3,3,0,3,3,1,65.8918,287
0,0,0,0,1,1,0,1,1,0,3,3,3,3,65.8918,287
0,0,0,0,1,1,0,1,3,3,0,3,3,1,65.8918,287
0,0,0,0,0,1,1,0,3,3,3,3,3,0,65.8918,287
0,0,0,0,1,1,1,1,2,1,2,3,3,3,65.8918,287
0,0,0,0,0,1,1,0,0,3,3,3,3,3,65.8918,287
1,0,0,0,0,1,1,1,3,3,1,3,3,0,65.8918,287
0,0,0,0,1,1,1,1,1,3,2,3,3,3,65.8918,287
0,0,0,0,0,1,2,1,3,1,3,3,3,3,65.8918,287
0,0,0,0,0,1,1,0,0,0,1,3,3,3,65.8918,287
0,0,0,0,0,1,2,0,3,3,3,3,3,3,65.8918,287
0,0,0,0,0,1,2,0,3,2,3,3,3,3,65.8918,287
1,0,0,0,0,1,2,0,0,1,3,3,3,3,65.8918,287
1,0,0,0,0,1,1,1,0,3,3,1,1,3,65.8918,287
1,0,0,0,0,1,2,0,3,3,3,3,3,0,65.8918,287
1,0,0,0,0,1,2,0,0,3,1,3,3,3,65.8918,287
1,0,0,0,0,1,2,0,3,0,3,3,3,3,65.8918,287
1,0,0,0,0,1,2,0,3,3,0,3,3,3,65.8918,287
0,0,0,0,0,1,1,0,0,3,0,0,0,3,65.8918,287
1,0,0,0,1,1,1,1,3,1,3,3,3,0,65.8918,287
0,0,0,0,0,1,2,1,3,3,3,1,1,3,65.8918,287
0,0,0,0,1,1,1,0,3,3,0,3,3,3,65.8918,287
0,0,0,0,1,1,0,1,3,0,3,3,3,1,65.8918,287
0,0,0,0,1,1,0,1,3,3,0,1,1,3,65.8918,287
0,0,0,0,1,1,1,1,2,2,1,2,2,3,65.8918,287
0,0,0,0,0,1,1,0,0,3,3,3,3,3,65.8918,287
0,0,0,0,1,1,0,1,1,0,3,3,3,3,65.8918,287
0,0,0,0,1,1,0,1,3,3,0,3,3,1,65.8918,287
0,0,0,0,1,1,0,1,3,3,1,3,3,3,65.8918,287
1,0,0,0,1,1,0,1,1,3,3,3,3,3,65.8918,287
1,0,0,0,1,1,1,1,0,3,1,3,3,3,65.8918,287
0,0,0,0,1,1,0,1,3,0,3,3,3,1,65.8918,287
1,0,0,0,0,1,1,1,0,3,1,3,3,3,65.8918,287
0,0,0,0,1,1,1,1,3,2,2,2,2,2,65.8918,287
0,0,0,0,0,1,0,1,3,0,3,3,3,1,65.8918,287
0,0,0,0,1,1,0,1,1,0,3,3,3,3,65.8918,287
0,0,0,0,1,1,0,1,3,3,0,3,3,1,65.8918,287
1,0,0,0,0,1,1,1,3,3,0,1,1,3,65.8918,287
0,0,0,0,0,1,1,0,0,3,0,0,0,3,65.8918,287
0,0,0,0,0,1,1,0,1,3,0,3,3,3,65.8918,287
0,0,0,0,1,1,0,1,1,0,3,3,3,3,65.8918,287
1,0,0,0,1,1,0,0,3,3,3,3,3,0,65.8918,287
0,0,0,0,0,1,2,1,3,3,3,1,1,0,65.8918,287
0,0,0,0,0,1,0,1,3,3,0,1,1,3,65.8918,287
0,0,0,0,0,1,0,1,0,3,3,1,1,3,65.8918,287
0,0,0,0,0,1,1,0,0,1,3,0,0,3,65.8918,287
0,0,0,0,1,1,1,1,2,2,2,1,1,3,65.8918,287
0,0,0,0,0,1,1,0,2,2,2,2,2,2,65.8918,287
0,0,0,0,1,1,0,1,3,3,3,3,3,1,65.8918,287
0,0,0,0,1,1,0,1,3,3,3,3,3,1,65.8918,287
0,0,0,0,1,1,0,1,3,0,3,3,3,3,65.8918,287
0,0,0,0,1,1,0,1,3,0,3,3,3,1,65.8918,287
0,0,0,0,1,1,1,1,3,2,1,2,2,3,65.8918,287
0,0,0,0,0,1,1,0,1,0,2,3,3,0,65.8918,287
0,0,0,0,1,1,0,1,3,0,3,3,3,1,65.8918,287
0,0,0,0,0,1,2,1,3,3,3,3,3,0,65.8918,287
0,0,0,0,0,1,0,1,3,3,0,1,1,3,65.8918,287
1,0,0,0,0,1,1,1,3,3,3,0,0,3,65.8918,287
1,0,0,0,0,1,2,0,3,3,0,3,3,3,65.8918,287
1,0,0,0,0,1,2,0,0,3,3,1,3,3,65.8918,287
0,0,0,0,1,1,0,1,3,3,1,3,3,3,65.8918,287
0,0,0,0,0,1,0,0,0,0,0,0,0,0,65.8918,287
0,0,0,0,1,1,0,0,3,3,0,1,1,3,65.8918,287
0,0,0,0,1,1,0,1,0,3,3,1,1,3,65.8918,287
0,0,0,0,1,1,0,1,3,3,0,1,1,3,65.8918,287
0,0,0,0,0,1,1,0,0,0,0,0,0,0,65.8918,287
0,0,0,0,0,1,1,0,1,0,3,3,3,3,65.8918,287
0,0,0,0,0,1,2,0,3,2,3,3,3,2,65.8918,287
0,0,0,0,0,1,2,0,3,2,2,3,3,3,65.8918,287
0,0,0,0,0,1,2,1,3,0,3,3,3,1,65.8918,287
0,0,0,0,1,1,0,1,3,1,0,3,3,3,65.8918,287
0,0,0,0,0,1,2,1,3,0,3,3,3,1,65.8918,287
0,0,0,0,1,1,1,1,2,2,2,1,1,3,65.8918,287
0,0,0,0,0,1,2,0,1,0,3,3,3,3,65.8918,287
1,0,0,0,0,1,1,1,3,1,3,3,3,0,65.8918,287
0,0,0,0,0,1,1,0,0,3,0,1,1,0,65.8918,287
0,0,0,0,1,1,0,1,3,3,3,3,3,1,65.8918,287
0,0,0,0,1,1,0,1,3,0,3,3,3,3,65.8918,287
1,0,0,0,0,1,1,1,3,3,0,1,1,3,65.8918,287
0,0,0,0,1,1,1,1,3,2,2,2,2,2,65.8918,287
0,0,0,0,1,1,1,0,3,3,0,3,3,3,65.8918,287
0,0,0,0,1,1,1,0,2,3,2,2,2,2,65.8918,287
0,0,0,0,0,1,1,1,3,3,3,3,3,0,65.8918,287
1,0,0,0,1,1,0,0,3,3,3,3,3,0,65.8918,287
1,0,0,0,0,1,1,1,3,1,3,3,3,0,65.8918,287
0,0,0,0,0,1,0,1,1,3,3,3,3,3,65.8918,287
0,0,0,0,1,1,0,1,3,3,0,1,1,3,65.8918,287
0,0,0,0,1,1,0,1,0,3,3,1,1,3,65.8918,287
0,0,0,0,1,1,0,1,3,3,1,3,3,3,65.8918,287
0,0,0,0,0,1,1,1,3,3,0,3,3,3,65.8918,287
0,0,0,0,1,1,0,1,1,3,0,3,3,3,65.8918,287
0,0,0,0,1,1,1,0,3,2,3,2,2,2,65.8918,287
0,0,0,0,0,1,2,0,2,2,2,3,3,2,65.8918,287
0,0,0,0,0,1,2,0,2,2,2,1,3,2,65.8918,287
0,0,0,0,1,1,1,0,3,3,3,3,3,2,65.8918,287
0,0,0,0,1,1,1,0,3,3,2,3,3,2,65.8918,287
0,0,0,0,1,1,1,1,1,3,3,3,3,3,65.8918,287
1,0,0,0,0,1,1,1,3,1,3,3,3,0,65.8918,287
0,0,0,0,1,1,1,1,1,2,3,2,2,3,65.8918,287
1,0,0,0,0,1,2,0,3,0,3,3,3,3,65.8918,287
1,0,0,0,0,1,2,0,3,3,0,3,3,3,65.8918,287
0,0,0,0,0,0,1,0,2,2,2,2,2,2,65.8918,287
0,0,0,0,0,1,1,1,0,3,1,3,3,3,65.8918,287
0,0,0,0,1,1,0,1,3,3,3,0,0,3,65.8918,287
1,0,0,0,0,1,2,1,0,3,1,3,3,3,65.8918,287
0,0,0,0,0,1,1,0,3,3,3,3,3,3,65.8918,287
0,0,0,0,0,1,1,0,0,0,3,3,3,0,65.8918,287
0,0,0,0,1,1,0,1,3,3,0,1,1,3,65.8918,287
0,0,0,0,1,1,0,1,0,3,3,1,1,3,65.8918,287
0,0,0,0,1,1,0,1,1,3,3,0,0,3,65.8918,287
1,0,0,0,1,1,1,1,0,3,1,3,3,3,65.8918,287
1,0,0,0,0,1,1,1,3,1,3,3,3,3,65.8918,287
0,0,0,0,0,1,2,1,3,3,0,1,1,3,65.8918,287
0,0,0,0,0,1,1,0,0,0,0,3,3,3,65.8918,287
0,0,0,0,0,1,1,0,0,3,0,3,3,0,65.8918,287
0,0,0,0,1,1,0,1,3,0,3,3,3,1,65.8918,287
1,0,0,0,0,1,2,0,3,1,3,3,3,3,65.8918,287
0,0,0,0,0,1,1,0,3,0,0,3,3,0,65.8918,287
0,0,0,0,1,1,0,1,3,3,0,1,1,3,65.8918,287
1,0,0,0,1,1,1,0,0,3,3,1,1,3,65.8918,287
0,0,0,0,1,1,0,1,0,3,1,3,3,3,65.8918,287
0,0,0,0,0,1,0,0,0,0,0,3,3,0,65.8918,287
0,0,0,0,0,1,0,0,0,0,0,3,3,0,65.8918,287
1,0,0,0,0,1,1,1,0,1,3,3,3,3,65.8918,287
0,0,0,0,1,1,2,0,1,3,3,3,3,3,65.8918,287
0,0,0,0,0,1,2,1,1,3,3,3,3,0,65.8918,287
0,0,0,0,1,1,0,1,3,0,3,1,1,3,65.8918,287
0,0,0,0,1,1,0,1,1,3,0,3,3,3,65.8918,287
0,0,0,0,0,1,2,0,3,3,3,0,0,1,65.8918,287
0,0,0,0,1,1,0,1,3,3,3,3,3,1,65.8918,287
1,0,0,0,0,1,2,0,3,3,3,3,3,3,65.8918,287
1,0,0,0,0,1,2,0,3,0,3,3,3,3,65.8918,287
0,0,0,0,1,1,0,1,1,3,3,0,0,3,65.8918,287
1,0,0,0,0,1,1,1,3,3,1,3,3,0,65.8918,287
0,0,0,0,1,1,1,0,2,2,2,2,2,2,65.8918,287
1,0,0,0,0,1,1,1,3,3,3,0,0,3,65.8918,287
1,0,0,0,0,1,2,0,3,3,3,3,3,3,65.8918,287
1,0,0,0,0,1,2,0,3,0,3,3,3,3,65.8918,287
0,0,0,0,1,1,0,1,1,3,3,0,0,3,65.8918,287
0,0,0,0,1,1,0,1,3,3,3,0,0,3,65.8918,287
1,0,0,0,1,1,0,0,0,3,3,3,3,3,65.8918,287
0,0,0,0,0,1,0,0,0,0,0,0,0,0,65.8918,287
0,0,0,0,1,1,1,1,3,2,3,2,2,1,65.8918,287
0,0,0,0,1,1,1,0,3,3,3,0,0,3,65.8918,287
0,0,0,0,0,1,0,0,2,2,2,2,2,2,65.8918,287
0,0,0,0,0,1,0,0,2,2,2,0,2,2,65.8918,287
0,0,0,0,0,1,1,0,3,3,2,3,3,2,65.8918,281010
0,0,0,0,0,1,1,0,3,3,2,3,3,2,65.8918,281010
1,0,0,0,0,1,1,0,0,3,3,3,3,3,65.8918,281010
0,0,0,0,0,1,1,0,2,2,3,2,2,2,65.8918,281010
0,0,0,0,0,1,1,0,2,2,3,2,2,2,65.8918,281010
0,0,0,0,0,1,1,0,3,3,3,0,0,3,65.8918,281010
0,0,0,0,0,1,1,0,3,3,3,0,0,3,65.8918,281010
1,0,0,0,1,1,1,1,0,3,3,0,0,3,65.8918,281010
1,0,0,0,1,1,1,1,0,3,3,0,0,3,65.8918,281010
0,0,0,0,0,1,1,0,3,3,3,3,3,3,65.8918,281010
0,0,0,0,0,1,1,1,3,3,0,3,3,3,65.8918,281010
0,0,0,0,0,1,1,0,0,3,3,3,3,3,65.8918,281010
0,0,0,0,0,1,2,0,3,1,3,3,3,3,65.8918,281010
1,0,0,0,1,1,0,0,0,3,3,3,3,3,65.8918,281010
0,0,0,0,0,1,1,1,0,0,3,3,3,3,65.8918,281010
0,0,0,0,0,1,1,1,0,0,3,3,3,3,65.8918,281010
0,0,0,0,0,1,1,1,3,3,0,3,3,0,65.8918,281010
0,0,0,0,0,1,1,1,3,3,0,3,3,0,65.8918,281010
1,0,0,0,1,1,1,1,3,0,3,3,3,0,65.8918,281010
1,0,0,0,1,1,1,1,3,0,3,3,3,0,65.8918,281010
0,0,0,0,0,1,1,0,3,0,3,3,3,3,65.8918,281010
0,0,0,0,0,1,1,0,3,0,3,3,3,3,65.8918,281010
0,0,0,0,0,1,1,0,1,3,0,3,3,3,65.8918,281010
1,0,0,0,1,1,1,1,0,3,0,3,3,3,65.8918,281010
1,0,0,0,1,1,1,1,0,3,0,3,3,3,65.8918,281010
1,0,0,0,1,1,1,1,0,0,3,3,3,3,65.8918,281010
1,0,0,0,1,1,1,1,0,0,3,3,3,3,65.8918,281010
0,0,0,0,0,1,2,0,1,1,3,3,3,0,65.8918,281010
0,0,0,0,0,1,2,1,1,1,3,0,0,0,65.8918,281010
0,0,0,0,0,1,1,1,3,3,0,0,0,3,65.8918,281010
0,0,0,0,0,1,1,1,3,3,0,0,0,3,65.8918,281010
0,0,0,0,0,1,0,0,0,0,0,3,3,0,65.8918,281010
0,0,0,0,0,1,1,1,0,3,3,0,0,3,65.8918,281010
0,0,0,0,0,1,1,1,0,3,3,0,0,3,65.8918,281010
0,0,0,0,0,1,0,0,0,0,0,3,3,0,65.8918,281010
1,0,0,0,1,1,1,1,3,3,0,3,3,3,65.8918,281010
1,0,0,0,1,1,1,1,3,3,0,3,3,3,65.8918,281010
0,0,0,0,0,1,1,0,3,2,2,2,2,2,65.8918,281010
0,0,0,0,0,1,1,0,3,2,2,2,2,2,65.8918,281010
0,0,0,0,0,1,1,0,2,3,3,3,3,3,65.8918,281010
1,0,0,0,1,1,1,1,0,3,0,3,3,3,65.8918,281010
1,0,0,0,1,1,1,1,0,3,0,3,3,3,65.8918,281010
0,0,0,0,0,1,1,0,3,0,3,3,3,3,65.8918,281010
1,0,0,0,1,1,1,1,3,3,0,0,0,3,65.8918,281010
1,0,0,0,1,1,1,1,3,3,0,0,0,3,65.8918,281010
0,0,0,0,0,1,2,0,0,3,3,1,1,0,65.8918,281010
0,0,0,0,0,1,1,0,3,3,3,3,3,0,65.8918,281010
0,0,0,0,0,1,1,0,3,3,3,3,3,3,65.8918,281010
1,0,0,0,1,1,1,1,3,0,3,3,3,0,65.8918,281010
1,0,0,0,1,1,1,1,3,0,3,3,3,0,65.8918,281010
0,0,0,0,0,1,0,0,3,0,3,3,3,3,65.8918,281010
0,0,0,0,0,1,0,1,3,0,0,3,3,3,65.8918,281010
0,0,0,0,0,1,2,0,0,3,1,3,3,0,65.8918,281010
1,0,0,0,0,1,1,0,3,3,3,3,3,3,65.8918,281010
0,0,0,0,0,1,1,0,3,3,3,3,3,3,65.8918,281010
0,0,0,0,0,1,1,1,3,3,0,2,2,3,65.8918,281010
0,0,0,0,0,1,1,1,3,3,0,2,2,3,65.8918,281010
0,0,0,0,0,1,1,1,0,0,3,3,3,3,65.8918,281010
0,0,0,0,0,1,1,1,0,0,3,3,3,3,65.8918,281010
0,0,0,0,0,1,1,1,3,3,0,3,3,0,65.8918,281010
0,0,0,0,0,1,1,1,3,3,0,3,3,0,65.8918,281010
1,0,0,0,1,1,1,1,3,0,3,3,3,0,65.8918,281010
1,0,0,0,1,1,1,1,3,0,3,3,3,0,65.8918,281010
1,0,0,0,1,1,1,1,3,0,3,3,3,0,65.8918,281010
1,0,0,0,1,1,1,1,3,0,3,3,3,0,65.8918,281010
0,0,0,0,0,1,1,1,3,0,3,3,3,0,65.8918,281010
0,0,0,0,0,1,1,1,3,0,3,3,3,0,65.8918,281010
1,0,0,0,0,1,1,0,0,3,3,3,3,3,65.8918,281010
0,0,0,0,0,1,1,0,3,3,3,3,3,3,65.8918,281010
0,0,0,0,0,1,1,1,3,3,3,3,3,0,65.8918,281010
0,0,0,0,0,1,1,0,0,3,3,3,3,3,65.8918,281010
0,0,0,0,0,1,1,1,3,3,3,3,3,0,65.8918,281010
0,0,0,0,0,1,1,1,3,3,3,3,3,0,65.8918,281010
0,0,0,0,0,1,1,1,3,0,3,3,3,3,65.8918,281010
0,0,0,0,0,1,1,1,3,0,3,3,3,3,65.8918,281010
1,0,0,0,0,1,1,0,3,3,3,3,3,0,65.8918,281010
1,0,0,0,1,1,1,1,3,3,3,0,0,3,65.8918,281010
1,0,0,0,1,1,1,1,3,3,3,0,0,3,65.8918,281010
0,0,0,0,0,1,1,1,0,3,0,3,3,3,65.8918,281010
0,0,0,0,0,1,1,1,0,3,0,3,3,3,65.8918,281010
1,0,0,0,0,1,1,0,3,3,3,0,0,3,65.8918,281010
1,0,0,0,0,1,1,0,3,3,3,3,3,0,65.8918,281010
1,0,0,0,1,1,1,0,0,3,3,3,3,3,65.8918,281010
0,0,0,0,0,1,1,0,0,3,3,3,3,3,65.8918,281010
1,0,0,0,0,1,1,1,0,3,0,3,3,3,65.8918,281010
1,0,0,0,0,1,1,1,0,3,0,3,3,3,65.8918,281010
0,0,0,0,0,1,1,0,0,3,3,3,3,3,65.8918,281010
0,0,0,0,0,1,1,0,3,3,3,3,3,0,65.8918,281010
1,0,0,0,1,1,1,0,3,0,3,3,3,3,65.8918,281010
0,0,0,0,0,1,1,0,2,3,3,3,3,3,65.8918,281010
0,0,0,0,0,1,1,0,2,3,3,3,3,3,65.8918,281010
0,0,0,0,0,1,1,0,3,3,0,3,3,3,65.8918,281010
1,0,0,0,1,1,1,1,3,0,3,3,3,0,65.8918,281010
1,0,0,0,1,1,1,1,3,0,3,3,3,0,65.8918,281010
0,0,0,0,0,1,1,0,3,3,3,3,3,3,65.8918,281010
0,0,0,0,0,1,1,1,3,3,3,3,3,0,65.8918,281010
1,0,0,0,0,1,1,0,3,0,3,3,3,3,65.8918,281010
0,0,0,0,0,1,2,0,0,3,1,3,3,3,65.8918,281010
0,0,0,0,0,1,1,1,3,3,0,0,0,3,65.8918,281010
0,0,0,0,0,1,1,1,3,3,0,0,0,3,65.8918,281010
0,0,0,0,0,1,1,1,0,3,3,0,0,3,65.8918,281010
0,0,0,0,0,1,1,1,0,3,3,0,0,3,65.8918,281010
1,0,0,0,1,1,0,1,0,3,3,0,0,3,65.8918,281010
1,0,0,0,1,1,0,1,0,3,3,0,0,3,65.8918,281010
1,0,0,0,1,1,1,1,0,3,0,3,3,3,65.8918,281010
1,0,0,0,1,1,1,1,0,3,0,3,3,3,65.8918,281010
1,0,0,0,1,1,1,0,3,3,3,0,0,3,65.8918,281010
0,0,0,0,0,1,1,1,0,3,3,0,0,3,65.8918,281010
1,0,0,0,1,1,0,1,0,0,3,3,3,3,65.8918,281010
1,0,0,0,1,1,0,1,0,0,3,3,3,3,65.8918,281010
0,0,0,0,0,1,1,1,3,3,3,3,3,0,65.8918,281010
0,0,0,0,0,1,1,1,3,3,3,3,3,0,65.8918,281010
0,0,0,0,0,1,1,1,3,0,3,3,3,3,65.8918,281010
0,0,0,0,0,1,1,1,3,0,3,3,3,3,65.8918,281010
0,0,0,0,0,1,2,0,0,3,0,0,0,3,65.8918,281010
1,0,0,0,1,1,1,1,0,3,3,3,3,3,65.8918,281010
1,0,0,0,1,1,1,1,0,3,3,3,3,3,65.8918,281010
1,0,0,0,1,1,1,0,3,3,0,3,3,3,65.8918,281010
0,0,0,0,0,1,1,1,0,3,0,3,3,3,65.8918,281010
1,0,0,0,1,1,1,0,3,0,3,3,3,3,65.8918,281010
1,0,0,0,0,1,1,0,3,3,3,3,3,0,65.8918,281010
1,0,0,0,0,1,1,0,3,3,3,0,0,3,65.8918,281010
0,0,0,0,0,1,1,0,2,2,3,2,2,3,65.8918,281010
0,0,0,0,0,1,1,0,2,2,3,2,2,3,65.8918,281010
1,0,0,0,1,1,1,0,3,3,0,3,3,3,65.8918,281010
0,0,0,0,0,1,1,0,0,3,3,3,3,3,65.8918,281010
0,0,0,0,0,1,1,0,3,3,3,3,3,0,65.8918,281010
1,0,0,0,0,1,1,0,3,3,0,3,3,3,65.8918,281010
1,0,0,0,0,1,1,1,1,0,0,3,3,3,65.8918,281010
1,0,0,0,0,1,1,1,1,0,0,3,3,3,65.8918,281010
1,0,0,0,1,1,1,1,3,3,3,0,0,0,65.8918,281010
1,0,0,0,1,1,1,1,3,3,3,0,0,0,65.8918,281010
1,0,0,0,0,1,1,0,3,3,3,3,3,0,65.8918,281010
1,0,0,0,1,1,1,1,0,0,3,3,3,3,65.8918,281010
1,0,0,0,1,1,1,1,0,0,3,3,3,3,65.8918,281010
0,0,0,0,0,1,1,0,3,2,3,2,2,2,65.8918,281010
0,0,0,0,0,1,1,0,3,2,3,2,2,2,65.8918,281010
0,0,0,0,0,1,1,0,3,3,3,3,3,3,65.8918,281010
0,0,0,0,0,1,1,0,0,3,3,3,3,3,65.8918,281010
0,0,0,0,0,1,1,0,3,3,3,3,3,0,65.8918,281010
1,0,0,0,1,1,1,1,3,3,0,3,3,3,65.8918,281010
1,0,0,0,1,1,1,1,3,3,0,3,3,3,65.8918,281010
0,0,0,0,0,1,2,0,0,3,3,0,0,3,65.8918,281010
1,0,0,0,1,1,1,1,1,3,3,3,3,3,65.8918,281010
1,0,0,0,0,1,1,0,0,3,3,3,3,3,65.8918,281010
1,0,0,0,1,1,1,0,3,0,3,3,3,3,65.8918,281010
1,0,0,0,0,1,1,1,3,0,3,0,0,3,65.8918,281010
0,0,0,0,0,1,1,0,3,3,3,2,2,3,65.8918,281010
0,0,0,0,0,1,1,0,3,3,3,0,0,3,65.8918,281010
0,0,0,0,0,1,1,0,3,3,3,0,0,3,65.8918,281010
0,0,0,0,0,1,2,0,0,1,3,3,3,3,65.8918,281010
0,0,0,0,0,1,1,0,2,2,2,3,3,3,65.8918,281010
0,0,0,0,0,1,1,0,2,2,2,3,3,3,65.8918,281010
0,0,0,0,0,1,1,0,2,3,2,2,2,2,65.8918,281010
0,0,0,0,0,1,1,0,2,3,2,2,2,2,65.8918,281010
1,0,0,0,0,1,1,0,3,3,3,3,3,0,65.8918,281010
0,0,0,0,0,1,1,0,3,3,3,3,3,0,65.8918,281010
0,0,0,0,0,1,1,0,3,3,3,3,3,3,65.8918,281010
1,0,0,0,0,1,1,0,3,3,3,3,3,0,65.8918,281010
0,0,0,0,0,1,1,0,3,2,3,3,3,3,65.8918,281010
0,0,0,0,0,1,1,1,0,2,3,3,3,3,65.8918,281010
0,0,0,0,0,1,1,0,2,2,2,2,2,3,65.8918,281010
0,0,0,0,0,1,1,0,2,2,2,2,2,3,65.8918,281010
1,0,0,0,0,1,1,0,3,3,3,3,3,0,65.8918,281010
0,0,0,0,0,1,1,1,0,3,3,0,0,3,65.8918,281010
0,0,0,0,0,1,1,1,0,3,3,0,0,3,65.8918,281010
0,0,0,0,0,1,1,0,3,3,3,3,3,0,65.8918,281010
1,0,0,0,1,1,1,1,3,3,0,0,0,3,65.8918,281010
1,0,0,0,1,1,1,1,3,3,0,0,0,3,65.8918,281010
0,0,0,0,0,1,1,1,0,0,3,3,3,3,65.8918,281010
0,0,0,0,0,1,1,1,0,0,3,3,3,3,65.8918,281010
0,0,0,0,0,1,1,1,3,3,0,3,3,0,65.8918,281010
0,0,0,0,0,1,1,1,3,3,0,3,3,0,65.8918,281010
1,0,0,0,0,1,1,0,3,3,0,3,3,3,65.8918,281010
0,0,0,0,0,1,0,0,0,3,0,0,0,0,65.8918,281010
0,0,0,0,0,1,1,0,0,3,3,3,3,3,65.8918,281010
0,0,0,0,0,1,1,0,0,3,3,3,3,3,65.8918,281010
0,0,0,0,0,1,1,0,3,3,3,0,0,3,65.8918,281010
1,0,0,0,0,1,1,0,3,3,3,0,0,3,65.8918,281010
0,0,0,0,0,1,1,0,3,2,2,2,2,2,65.8918,281010
0,0,0,0,0,1,1,0,3,2,2,2,2,2,65.8918,281010
0,0,0,0,0,1,1,0,3,3,3,3,3,3,65.8918,281010
0,0,0,0,0,1,1,0,3,3,3,3,3,2,65.8918,281010
0,0,0,0,0,1,1,0,3,3,3,3,3,2,65.8918,281010
0,0,0,0,0,1,1,0,3,2,3,3,3,3,65.8918,281010
0,0,0,0,0,1,1,0,3,2,3,3,3,3,65.8918,281010
0,0,0,0,0,1,1,0,3,3,3,3,3,2,65.8918,281010
0,0,0,0,0,1,1,0,0,3,3,3,3,3,65.8918,281010
0,0,0,0,0,1,1,0,0,3,3,3,3,3,65.8918,281010
0,0,0,0,0,1,1,0,3,3,3,3,3,2,65.8918,281010
0,0,0,0,0,1,1,0,2,3,2,3,3,3,65.8918,281010
0,0,0,0,0,1,1,0,2,3,2,3,3,3,65.8918,281010
0,0,0,0,0,1,1,0,3,3,3,0,0,3,65.8918,281010
